,longitude,variable,value
0,-912.706,lnwpred_longq,4.741659739
1,-912.987,lnwpred_longq,4.748089278
2,-915.979,lnwpred_longq,4.75538075
3,-915.264,lnwpred_longq,4.76380752
4,-914.9,lnwpred_longq,4.765644265
5,-914.463,lnwpred_longq,4.765662955
6,-916.273,lnwpred_longq,4.750062834
7,-913.689,lnwpred_longq,4.759841371
8,-915.004,lnwpred_longq,4.765288379
9,-915.853,lnwpred_longq,4.757329305
10,-916.122,lnwpred_longq,4.75292902
11,-915.215,lnwpred_longq,4.764151185
12,-913.251,lnwpred_longq,4.753231133
13,-914.541,lnwpred_longq,4.765834526
14,-913.129,lnwpred_longq,4.750963183
15,-912.918,lnwpred_longq,4.746601864
16,-914.514,lnwpred_longq,4.765783737
17,-914.456,lnwpred_longq,4.765643841
18,-913.314,lnwpred_longq,4.754329488
19,-917.579,lnwpred_longq,4.713387578
20,-914.57,lnwpred_longq,4.765878933
21,-913.509,lnwpred_longq,4.75741491
22,-912.9698753,lnwpred_longq,4.747725675
23,-913.093,lnwpred_longq,4.750258423
24,-913.222,lnwpred_longq,4.752708876
25,-913.359,lnwpred_longq,4.755083671
26,-913.192,lnwpred_longq,4.752157555
27,-914.864,lnwpred_longq,4.765735976
28,-913.673,lnwpred_longq,4.759642075
29,-913.382,lnwpred_longq,4.755459373
30,-913.63,lnwpred_longq,4.759090623
31,-913.817,lnwpred_longq,4.761320602
32,-914.908,lnwpred_longq,4.765621687
33,-914.61882,lnwpred_longq,4.76592996
34,-913.382,lnwpred_longq,4.755459373
35,-913.632,lnwpred_longq,4.759116784
36,-912.859,lnwpred_longq,4.745282846
37,-912.864,lnwpred_longq,4.745396314
38,-912.867,lnwpred_longq,4.745464245
39,-912.867,lnwpred_longq,4.745464245
40,-913.085,lnwpred_longq,4.750099611
41,-913.616,lnwpred_longq,4.758906095
42,-912.912,lnwpred_longq,4.746469713
43,-913.365,lnwpred_longq,4.755182317
44,-912.715,lnwpred_longq,4.741880958
45,-914.78,lnwpred_longq,4.765887004
46,-914.904,lnwpred_longq,4.765633076
47,-912.995,lnwpred_longq,4.748257884
48,-913.521,lnwpred_longq,4.757589266
49,-914.014,lnwpred_longq,4.763197316
50,-915.209,lnwpred_longq,4.764191205
51,-912.816,lnwpred_longq,4.744294132
52,-914.63,lnwpred_longq,4.765937455
53,-916.317,lnwpred_longq,4.749174062
54,-915.488,lnwpred_longq,4.761854511
55,-914.234,lnwpred_longq,4.76472011
56,-914.374,lnwpred_longq,4.765374349
57,-914.318,lnwpred_longq,4.765142036
58,-914.329,lnwpred_longq,4.765190761
59,-914.514,lnwpred_longq,4.765783737
60,-914.829,lnwpred_longq,4.765809617
61,-914.437,lnwpred_longq,4.765588874
62,-914.002,lnwpred_longq,4.763096865
63,-914.74,lnwpred_longq,4.765927941
64,-913.945,lnwpred_longq,4.762595157
65,-914.503,lnwpred_longq,4.765760434
66,-909.634,lnwpred_longq,4.607030699
67,-912.778,lnwpred_longq,4.743401158
68,-912.75,lnwpred_longq,4.742731635
69,-912.911,lnwpred_longq,4.746447644
70,-913.637,lnwpred_longq,4.759181968
71,-913.722,lnwpred_longq,4.760242317
72,-914.483,lnwpred_longq,4.765714193
73,-914.799,lnwpred_longq,4.765860557
74,-915.262,lnwpred_longq,4.763822134
75,-913.572,lnwpred_longq,4.758310212
76,-914.522,lnwpred_longq,4.765799735
77,-914.511,lnwpred_longq,4.765777531
78,-914.519,lnwpred_longq,4.765793829
79,-915.179,lnwpred_longq,4.76438456
80,-917.156,lnwpred_longq,4.727599343
81,-914.755,lnwpred_longq,4.765914932
82,-914.8,lnwpred_longq,4.76585904
83,-914.846,lnwpred_longq,4.765775759
84,-913.3,lnwpred_longq,4.754089694
85,-914.255,lnwpred_longq,4.764833855
86,-914.41,lnwpred_longq,4.765503006
87,-914.644,lnwpred_longq,4.765944639
88,-914.523,lnwpred_longq,4.765801678
89,-913.664,lnwpred_longq,4.759528566
90,-914.233,lnwpred_longq,4.764714556
91,-915.092,lnwpred_longq,4.764881708
92,-916.124,lnwpred_longq,4.752892918
93,-913.787,lnwpred_longq,4.760992271
94,-913.407,lnwpred_longq,4.755860249
95,-913.64,lnwpred_longq,4.759220929
96,-912.45,lnwpred_longq,4.734943539
97,-912.475,lnwpred_longq,4.73563549
98,-912.936,lnwpred_longq,4.746995619
99,-914.796,lnwpred_longq,4.765865033
100,-913.784,lnwpred_longq,4.76095882
101,-914.689,lnwpred_longq,4.765951147
102,-914.209,lnwpred_longq,4.764577515
103,-913.762,lnwpred_longq,4.760710073
104,-913.4299278,lnwpred_longq,4.756221034
105,-914.651,lnwpred_longq,4.765947313
106,-913.428,lnwpred_longq,4.756190951
107,-913.928,lnwpred_longq,4.762437667
108,-914.977,lnwpred_longq,4.765393759
109,-912.436,lnwpred_longq,4.734552636
110,-912.677,lnwpred_longq,4.740940038
111,-914.621,lnwpred_longq,4.765931544
112,-914.7,lnwpred_longq,4.76594889
113,-913.37,lnwpred_longq,4.755264179
114,-914.339,lnwpred_longq,4.765233744
115,-912.934,lnwpred_longq,4.746952069
116,-913.534,lnwpred_longq,4.757776123
117,-914.377,lnwpred_longq,4.765385689
118,-915.604,lnwpred_longq,4.76059678
119,-914.353,lnwpred_longq,4.765291823
120,-914.142,lnwpred_longq,4.764156861
121,-914.686,lnwpred_longq,4.7659515
122,-913.384,lnwpred_longq,4.75549173
123,-920.347,lnwpred_longq,4.565218484
124,-914.733,lnwpred_longq,4.76593305
125,-912.99,lnwpred_longq,4.748152599
126,-913.471,lnwpred_longq,4.756850913
127,-912.931,lnwpred_longq,4.746886649
128,-913.857,lnwpred_longq,4.761740887
129,-912.776,lnwpred_longq,4.74335366
130,-913.701,lnwpred_longq,4.759988743
131,-916.998,lnwpred_longq,4.732334364
132,-914.637,lnwpred_longq,4.765941353
133,-914.82,lnwpred_longq,4.765826079
134,-915.1503369,lnwpred_longq,4.764558795
135,-913.492,lnwpred_longq,4.757164826
136,-914.513,lnwpred_longq,4.765781681
137,-912.883,lnwpred_longq,4.745824643
138,-913.12373,lnwpred_longq,4.750861025
139,-913.857,lnwpred_longq,4.761740887
140,-915.004,lnwpred_longq,4.765288379
141,-915.264,lnwpred_longq,4.76380752
142,-914.432,lnwpred_longq,4.76557366
143,-914.075,lnwpred_longq,4.763680128
144,-913.977,lnwpred_longq,4.762881815
145,-913.823,lnwpred_longq,4.761384919
146,-913.599,lnwpred_longq,4.758678735
147,-914.022,lnwpred_longq,4.763263284
148,-915.169,lnwpred_longq,4.764446513
149,-914.314,lnwpred_longq,4.765123943
150,-913.31545,lnwpred_longq,4.754354184
151,-914.38,lnwpred_longq,4.765396917
152,-912.984,lnwpred_longq,4.748025845
153,-915.092,lnwpred_longq,4.764881708
154,-916.55,lnwpred_longq,4.744064469
155,-915.131,lnwpred_longq,4.764670542
156,-914.835,lnwpred_longq,4.765798079
157,-915.09,lnwpred_longq,4.764892025
158,-919.741,lnwpred_longq,4.605840883
159,-914.874,lnwpred_longq,4.765712125
160,-912.574,lnwpred_longq,4.738298937
161,-915.307,lnwpred_longq,4.763481227
162,-913.139,lnwpred_longq,4.751156076
163,-915.138,lnwpred_longq,4.764630629
164,-914.677,lnwpred_longq,4.765951885
165,-915.124,lnwpred_longq,4.764709843
166,-914.837,lnwpred_longq,4.765794134
167,-913.509,lnwpred_longq,4.75741491
168,-914.35,lnwpred_longq,4.765279584
169,-913.452,lnwpred_longq,4.75656215
170,-914.157,lnwpred_longq,4.764255909
171,-915.326,lnwpred_longq,4.763329692
172,-914.607,lnwpred_longq,4.765920337
173,-913.044,lnwpred_longq,4.749273151
174,-915.136,lnwpred_longq,4.764642095
175,-914.105,lnwpred_longq,4.763900524
176,-914.336,lnwpred_longq,4.76522098
177,-913.773,lnwpred_longq,4.760835202
178,-913.374,lnwpred_longq,4.755329443
179,-915.873,lnwpred_longq,4.757033253
180,-913.4815216,lnwpred_longq,4.757008881
181,-913.358,lnwpred_longq,4.755067186
182,-913.625,lnwpred_longq,4.759025001
183,-914.223,lnwpred_longq,4.76465833
184,-914.714,lnwpred_longq,4.765943832
185,-916.718,lnwpred_longq,4.739959503
186,-912.488,lnwpred_longq,4.735992219
187,-913.636,lnwpred_longq,4.759168956
188,-914.733,lnwpred_longq,4.76593305
189,-914.389,lnwpred_longq,4.765429924
190,-914.833,lnwpred_longq,4.765801975
191,-914.464,lnwpred_longq,4.765665635
192,-913.203,lnwpred_longq,4.752361012
193,-914.541,lnwpred_longq,4.765834526
194,-914.044,lnwpred_longq,4.763440574
195,-912.922,lnwpred_longq,4.746689715
196,-914.73,lnwpred_longq,4.765935052
197,-916.4,lnwpred_longq,4.747431672
198,-914.741,lnwpred_longq,4.765927161
199,-914.579,lnwpred_longq,4.765890578
200,-914.109,lnwpred_longq,4.76392906
201,-914.281,lnwpred_longq,4.76496705
202,-914.538,lnwpred_longq,4.765829332
203,-914.445,lnwpred_longq,4.765612568
204,-913.667,lnwpred_longq,4.759566515
205,-914.998,lnwpred_longq,4.765312584
206,-912.898,lnwpred_longq,4.746159612
207,-914.489,lnwpred_longq,4.76572859
208,-916.027,lnwpred_longq,4.754586274
209,-912.498,lnwpred_longq,4.736265189
210,-913.868,lnwpred_longq,4.761852961
211,-913.582,lnwpred_longq,4.758447764
212,-913.586,lnwpred_longq,4.758502435
213,-916.686,lnwpred_longq,4.740768585
214,-913.886,lnwpred_longq,4.762033095
215,-914.657,lnwpred_longq,4.765949118
216,-913.008,lnwpred_longq,4.748530164
217,-914.295,lnwpred_longq,4.765035272
218,-912.9698753,lnwpred_longq,4.747725675
219,-914.397,lnwpred_longq,4.765458415
220,-913.791,lnwpred_longq,4.761036698
221,-915.119,lnwpred_longq,4.76473754
222,-913.4223,lnwpred_longq,4.756101734
223,-913.4223,lnwpred_longq,4.756101734
224,-915.184,lnwpred_longq,4.764353115
225,-914.3778462,lnwpred_longq,4.765388868
226,-914.721,lnwpred_longq,4.765940384
227,-914.114,lnwpred_longq,4.76396445
228,-913.054,lnwpred_longq,4.749476663
229,-914.351,lnwpred_longq,4.765283676
230,-915.164,lnwpred_longq,4.764477021
